Temperature (F),Average Stress Rating

42.0,4.5

35.0,3.0

60.0,2.375

76.0,2.5057471264367814

61.0,2.441860465116279

40.0,1.0

39.0,2.0

32.0,2.9

30.0,1.0

31.0,3.25

20.0,1.5

19.0,1.5

34.0,1.0

51.0,1.0

49.0,1.25

54.0,1.9285714285714286

53.0,1.75

41.0,1.5

33.0,2.5

28.0,3.0

68.0,2.4814814814814814

79.0,2.1358024691358026

58.0,2.0555555555555554

62.0,2.4393939393939394

73.0,2.479591836734694

72.0,2.3214285714285716

55.0,2.8095238095238093

71.0,2.449275362318841

56.0,2.5

59.0,3.076923076923077

75.0,2.761467889908257

82.0,2.4805194805194803

50.0,2.739130434782609

64.0,2.473684210526316

21.0,2.0

69.0,2.42

74.0,2.3106796116504853

66.0,2.4558823529411766

65.0,2.586206896551724

67.0,2.410958904109589

63.0,2.2954545454545454

70.0,2.315068493150685

78.0,2.3125

77.0,2.287671232876712

81.0,2.4018691588785046

80.0,2.2545454545454544

52.0,1.5

57.0,2.6842105263157894

83.0,2.4237288135593222

85.0,2.5625

44.0,1.0

89.0,2.5526315789473686

86.0,2.7857142857142856

87.0,2.608695652173913

84.0,2.46875

88.0,2.3658536585365852

94.0,3.08

92.0,2.1818181818181817

93.0,2.1739130434782608

95.0,2.0625

91.0,2.823529411764706

90.0,3.4285714285714284

96.0,2.8333333333333335

97.0,5.0

